,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1171_child0_44}hgV_free.pickle,99.60715617478137,30.645461716204796,98.51966489548592,167,165.916667,0.5639686684073107,11.999999975891512,0.8861940298507462,383,1608,0.8623807132094425,0.8608037274315666,1.0454942399393432,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1181_child0_~h~g~4_free.pickle,95.689054128286,29.4745687794041,99.52157943313186,167,165.583333,0.07518796992481203,12.00000002415702,0.0895361380798274,133,1854,0.11172622043281329,0.8513513513513513,0.0945878699213758,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1469_child0_XlMj4l_free.pickle,99.37104517818668,30.93569610348385,97.3505559820089,167,164.333333,0.10407725321888411,12.00000002434077,0.7086538461538462,932,1040,0.5162271805273834,0.8772102161100196,1.8081126445998237,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1536_child0_wWpLJd_free.pickle,99.74769866033236,20.062060326809984,97.04030458391657,83,165.666667,0.12598425196850394,11.99999997585513,0.6548410938654841,635,1353,0.539738430583501,0.9002795899347623,1.5440049482273346,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1541_child1_WXwJBL_free.pickle,99.79541236282336,53.82844188399319,99.74884067973372,83,164.416667,0.2488822652757079,11.999999975671567,0.5967741935483871,671,1302,0.5783071464774455,0.8343558282208589,0.9230175198345701,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1576_child0_nWw4qg_free.pickle,99.96526208038212,38.18713299544025,99.94724560447746,167,171.333333,0.218117854001759,12.000000023346303,0.6877040261153428,1137,919,0.6288910505836576,0.782675947409126,1.267918298690098,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_177_child0_session1_free.pickle,98.78710250854492,16.906506729125976,99.47862319946289,167,155.5,0.0006165228113440197,12.0,0.018957345971563982,811,1055,0.010718113612004287,1.0,1.1553479081908087,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1848_child0_gxlpHv_free.pickle,99.88321737166147,22.86122085128788,98.78633052425614,200,159.066667,0.4948453608247423,29.99999993713328,0.921045885670341,873,3901,0.8523250942605781,0.8864585893339887,1.4250628708925042,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1917_child0_j9VtPT_free.pickle,99.47427287186392,33.73331700274225,99.81949621968016,200,160.066667,0.05646036916395222,29.99999993752603,0.5825392737574041,921,3883,0.5628642797668609,0.893491124260355,1.7935945710727446,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2144_child0_DL2V5t_free.pickle,99.93197610250797,53.26226356765052,99.69561549346015,200,164.133333,0.6337308347529813,30.000000060926077,0.951601751555658,587,4339,0.9758424685343078,0.8943207821926358,1.318835682272573,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2216_child0_m1H4Lb_free.pickle,98.79295860290527,22.18852197647095,95.44985244750977,134,167.6,0.04938271604938271,7.5,0.1458128078817734,243,1015,0.1589825119236884,0.84,0.5963063214322424,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2299_child0_z1T508_free.pickle,98.67064207453393,26.20392657336317,99.37311456992873,200,170.066667,0.30890999547715964,29.99999994119953,0.6118216384376081,2211,2893,0.5272335423197492,0.6960237829803048,0.7830123779659237,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2356_child0_gqhTBr_free.pickle,99.7929913150963,31.967068752479648,99.65737964919205,200,165.733333,0.05281445448227936,30.000000060337893,0.4973125884016973,1439,3535,0.8118214716525934,0.6030212976721149,1.611419948593721,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_241_child0_7S9_free.pickle,99.35796582611626,43.64838358003144,99.41262332673108,167,161.833333,0.48148148148148145,12.000000024716787,0.4346128822381262,405,1537,0.49279093717816685,0.7262277951933125,-0.11820628361859079,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2441_child0_7rMY0z_free.pickle,99.6524498213036,42.57223510009297,98.51766142538256,200,164.8,0.14343163538873996,29.999999999999996,0.698301329394387,2238,2708,0.6314193287505054,0.7118155619596542,1.5845491625791994,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_363_child0_7jh_free.pickle,99.91973689386614,41.4428977763534,98.88683226829352,167,162.25,0.6466666666666666,12.0,0.7541750167000668,450,1497,0.7729840780688239,0.7887043189368771,0.3113502988225915,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_391_child1_yQxQ5Q_free.pickle,99.8219340338091,43.92689123222132,98.95367492328991,167,164.416667,0.5167785234899329,11.999999975671567,0.7701492537313432,298,1675,0.8474404460212874,0.7966507177033493,0.6972685458419262,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_568_child0_kmHktZ_free.pickle,99.91863093835975,38.61748479031221,98.90199958789076,200,163.333333,0.1354378818737271,30.000000061224487,0.9104134762633997,982,3918,0.7661224489795918,0.9627064464571125,2.4443535827697564,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_928_child0_rq7_free.pickle,99.56748785446806,44.12112201066978,99.56281762648898,167,167.583333,0.4536842105263158,12.000000023868722,0.6013195098963242,950,1061,0.6539035305818001,0.6463878326996197,0.37312248077566096,0
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1216_child1_ZKg5mG_scientific.pickle,97.55868231429103,46.79999068644037,99.90690603295798,200,163.5,0.12375533428165007,30.0,0.23477640342530923,703,4204,0.24556755655186469,0.8580912863070539,0.43321005213601993,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1230_child0_9g8QjH_scientific.pickle,99.47657633508207,49.17867160968802,99.22820319668783,167,163.583333,0.008997429305912597,12.000000024452367,0.1940928270042194,778,1185,0.4640855832908813,0.41822173435784854,1.5028115410737046,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1233_child0_Ql4VgN_scientific.pickle,99.92836362286927,27.818749224465854,97.61556234076895,167,165.833333,0.4729064039408867,12.000000024120602,0.9002525252525253,406,1584,0.8979899497487437,0.8925573587017348,1.3509576625276942,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1291_child0_Gg4nmB_scientific.pickle,99.66021176551314,37.42982858784041,99.14289716894409,167,165.166667,0.18076923076923077,11.999999975782039,0.8019966722129783,780,1202,0.8082744702320888,0.8358302122347067,1.7612122175721487,1
coding/osf/tqgkc/osfstorage/oneshot_coded/oneshot_1359_child0_VkLbvL_scientific.pickle,99.68005658419627,41.36898655153671,97.41057070174307,167,163.25,0.3127376425855513,12.0,0.5700110253583242,1052,907,0.6763654925982644,0.64,0.6645074950403586,1
