,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1171_child0_44}hgV_free.pickle,99.60715617478137,30.645461716204796,98.51966489548592,167,165.916667,0.6057441253263708,11.999999975891512,0.8880597014925373,383,1608,0.8623807132094425,0.8532323820617356,0.9480302222008121,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1181_child0_~h~g~4_free.pickle,95.689054128286,29.4745687794041,99.52157943313186,167,165.583333,0.07518796992481203,12.00000002415702,0.09492988133764833,133,1854,0.11172622043281329,0.8963963963963963,0.12721076581914348,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1469_child0_XlMj4l_free.pickle,99.37104517818668,30.93569610348385,97.3505559820089,167,164.333333,0.11587982832618025,12.00000002434077,0.7076923076923077,932,1040,0.5162271805273834,0.8654223968565815,1.74249389425567,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1536_child0_wWpLJd_free.pickle,99.74769866033236,20.062060326809984,97.04030458391657,83,165.666667,0.10393700787401575,11.99999997585513,0.6467110125646711,635,1353,0.539738430583501,0.9030754892823858,1.6358888174235648,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1541_child1_WXwJBL_free.pickle,99.79541236282336,53.82844188399319,99.74884067973372,83,164.416667,0.2548435171385991,11.999999975671567,0.5990783410138248,671,1302,0.5783071464774455,0.8334794040315513,0.9102873107053622,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1576_child0_nWw4qg_free.pickle,99.96526208038212,38.18713299544025,99.94724560447746,167,171.333333,0.22691292875989447,12.000000023346303,0.6822633297062024,1137,919,0.6288910505836576,0.7710750193348801,1.2230892664940387,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_177_child0_session1_free.pickle,98.78710250854492,16.906506729125976,99.47862319946289,167,155.5,0.0006165228113440197,12.0,0.018957345971563982,811,1055,0.010718113612004287,1.0,1.1553479081908087,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1848_child0_gxlpHv_free.pickle,99.88321737166147,22.86122085128788,98.78633052425614,200,159.066667,0.4948453608247423,29.99999993713328,0.921045885670341,873,3901,0.8523250942605781,0.8864585893339887,1.4250628708925042,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_1917_child0_j9VtPT_free.pickle,99.47427287186392,33.73331700274225,99.81949621968016,200,160.066667,0.05646036916395222,29.99999993752603,0.5717228946690703,921,3883,0.5628642797668609,0.8779585798816568,1.7659629442457507,0
coding/osf/dqmcv/osfstorage/oneshot_coded/oneshot_2144_child0_DL2V5t_free.pickle,99.93197610250797,53.26226356765052,99.69561549346015,200,164.133333,0.6524701873935264,30.000000060926077,0.957824383498502,587,4339,0.9758424685343078,0.8976492614936551,1.333980675644142,0
