,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_-2_child0_jw8pxQ_free.pickle,99.65590541882894,30.213017956034985,99.93542051567857,200,158.733333,0.15634920634920635,30.000000062998744,0.681325685149777,1260,1569,0.8322837951301427,0.4592686002522068,1.480985210243924,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1108_child0_hMI_free.pickle,99.90093623690613,41.20095201526306,99.29170636890414,167,164.5,0.34545454545454546,12.0,0.39853300733496333,220,409,0.8242147922998987,0.34480639213275965,0.14047559183677633,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1128_child0_DEH_free.pickle,99.82929288765753,52.78133559901385,99.23450311924178,167,155.166667,0.2671957671957672,11.999999974221268,0.5486842105263158,378,760,0.6455424274973147,0.5366056572379367,0.7436539910770616,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1277_child0_l0Bxgw_free.pickle,99.7160848831893,20.325894322537767,99.7823840177924,167,155.916667,0.23385300668151449,11.99999997434527,0.597972972972973,449,592,0.7514698022447889,0.519203413940256,0.9743204270922468,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1332_child0_nYzgZ6_free.pickle,99.92740858352148,56.18660329182943,99.9348517788295,167,162.583333,0.41578947368421054,12.000000024602768,0.5614307931570762,380,643,0.8380317785750897,0.42385321100917434,0.36727473747442485,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1367_child0_ZmWjZ1_free.pickle,99.75445929194531,28.957349694431922,98.66557906187437,167,146.75,0.1424731182795699,12.0,0.5104166666666666,372,480,0.6802952867688813,0.48664440734557596,1.0953876479816371,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_139_child0_session1_free.pickle,98.30714057747645,33.58825171667201,94.37347130229455,167,153.666667,0.13959390862944163,11.999999973969633,0.23266563944530047,394,649,0.3552060737527115,0.30229007633587784,0.3520492711224481,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1472_child1_ZQhJQy_free.pickle,99.8216612247434,27.850215658970185,99.8887497288587,167,155.75,0.12623762376237624,12.0,0.7260536398467433,404,522,0.8631016042780749,0.5780669144981413,1.7452787099468892,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1533_child0_gTjKxZ_free.pickle,99.78978972885383,36.114663297089855,98.0237345087832,167,154.916667,0.05757575757575758,11.999999974179667,0.06234413965087282,330,802,0.3587950511027434,0.2623688155922039,0.04006564987283556,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1617_child0_7dKGwx_free.pickle,99.69381187925947,35.996451491497936,99.02588121130111,167,155.666667,0.2832369942196532,11.99999997430407,0.48725212464589235,519,706,0.5032119914346895,0.5829787234042553,0.5412925112291872,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1778_child0_0PJzWr_free.pickle,99.1843894857778,12.990203332586256,97.16049387588752,200,151.433333,0.11278195488721804,30.000000066035657,0.17869415807560138,1463,2037,0.26666666666666666,0.5627062706270627,0.29151238767370014,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2040_child0_Z74p3D_free.pickle,99.8642745964417,39.17904373579284,99.89785862105168,200,160.833333,0.4542343883661249,30.000000062176163,0.6672504378283712,1169,1142,0.8705199917132794,0.46906235126130413,0.5473035442427981,0
