,Confidence,QualityBrightness,QualitySharpness,deltat,dur,fa,fps,hits,n0,n1,proponeface,score,dprime,spind
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_-2_child0_jw8pxQ_free.pickle,99.65590541882894,30.213017956034985,99.93542051567857,200,158.733333,0.2149122807017544,30.000000062998744,0.7463768115942029,1140,1518,0.8322837951301427,0.44791929382093315,1.4526233404118791,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1108_child0_hMI_free.pickle,99.90093623690613,41.20095201526306,99.29170636890414,167,164.5,0.3744292237442922,12.0,0.44254278728606355,219,409,0.8242147922998987,0.35709895513214507,0.17561952306014214,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1128_child0_DEH_free.pickle,99.82929288765753,52.78133559901385,99.23450311924178,167,155.166667,0.21875,11.999999974221268,0.5361366622864652,384,761,0.6455424274973147,0.5374376039933444,0.8671271665794482,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1277_child0_l0Bxgw_free.pickle,99.7160848831893,20.325894322537767,99.7823840177924,167,155.916667,0.2610619469026549,11.99999997434527,0.6047700170357752,452,587,0.7514698022447889,0.5234708392603129,0.905788288766953,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1332_child0_nYzgZ6_free.pickle,99.92740858352148,56.18660329182943,99.9348517788295,167,162.583333,0.4609164420485175,12.000000024602768,0.5959595959595959,371,594,0.8380317785750897,0.45565749235474007,0.3410278474250038,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1367_child0_ZmWjZ1_free.pickle,99.75445929194531,28.957349694431922,98.66557906187437,167,146.75,0.12759643916913946,12.0,0.5073375262054507,337,477,0.6802952867688813,0.4565943238731219,1.15622012853737,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_139_child0_session1_free.pickle,98.30714057747645,33.58825171667201,94.37347130229455,167,153.666667,0.10796915167095116,11.999999973969633,0.21461897356143078,389,643,0.3552060737527115,0.29770992366412213,0.44690449007533317,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1472_child1_ZQhJQy_free.pickle,99.8216612247434,27.850215658970185,99.8887497288587,167,155.75,0.15864022662889518,12.0,0.7468354430379747,353,553,0.8631016042780749,0.5836431226765799,1.664626555143606,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1533_child0_gTjKxZ_free.pickle,99.78978972885383,36.114663297089855,98.0237345087832,167,154.916667,0.0718562874251497,11.999999974179667,0.06608478802992519,334,802,0.3587950511027434,0.3313343328335832,-0.04349671283601597,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1617_child0_7dKGwx_free.pickle,99.69381187925947,35.996451491497936,99.02588121130111,167,155.666667,0.2741228070175439,11.99999997430407,0.4433497536945813,456,609,0.5032119914346895,0.573404255319149,0.45790937300127554,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_1778_child0_0PJzWr_free.pickle,99.1843894857778,12.990203332586256,97.16049387588752,200,151.433333,0.13903345724907062,30.000000066035657,0.1530977982590886,1345,1953,0.26666666666666666,0.3935643564356436,0.061434651445374966,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2040_child0_Z74p3D_free.pickle,99.8642745964417,39.17904373579284,99.89785862105168,200,160.833333,0.4322916666666667,30.000000062176163,0.6098765432098765,1152,1215,0.8705199917132794,0.48762494050452165,0.44954000754237666,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2067_child0_DVXdqW_free.pickle,99.68361070046151,39.79370669752303,99.9106586935847,200,148.566667,0.0006666666666666666,29.99999993269015,0.436742934051144,750,1486,0.7100246692083427,0.33480732785849654,3.049474624803084,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2117_child1_MGL06k_free.pickle,99.28938075768404,34.07770406842031,99.32171331344527,200,152.4,0.33161953727506427,30.0,0.4683622828784119,1167,1612,0.6482291211193704,0.41922428330522765,0.3560582160965613,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2147_child0_7kypVM_free.pickle,99.84784970897064,54.279546745562286,99.95436971188578,208,141.333333,0.22695035460992907,24.00000005660377,0.2675438596491228,564,1140,0.7121390689451974,0.17459660736450144,0.1286694859018277,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2162_child0_G1Vqj1_free.pickle,99.86708431550827,31.402044932047527,98.48482124416307,201,153.184358,0.3282442748091603,14.916666622058107,0.6438356164383562,262,584,0.9514435695538058,0.4386206896551724,0.8134967324145123,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2237_child0_6vT248_free.pickle,99.87239834847348,29.00599867967913,99.3023339393789,200,160.366667,0.453015427769986,29.9999999376429,0.7912966252220248,713,1126,0.9060876792021608,0.5322173813345563,0.9289749173950874,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2238_child0_t5Rxb5_free.pickle,98.09979051799444,19.439199249179378,99.83873596632412,200,161.1,0.0966183574879227,30.0,0.0791693705386113,1242,1541,0.14312306101344363,0.23699421965317918,-0.10961733151295094,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2366_child1_zk3ylL_free.pickle,99.86241013489848,36.54768158606,99.81398407269984,200,155.433333,0.19536423841059603,30.000000064336263,0.4864864864864865,302,259,0.909967845659164,0.30294464075382804,0.8244171804560187,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2387_child0_DLQV4l_free.pickle,99.97561024101198,38.95810605635773,99.7373684688158,200,160.6,0.6354515050167224,15.0,0.7345679012345679,299,324,0.8991701244813278,0.44808491001384404,0.2803603638070247,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2668_child0_3tXkZr_free.pickle,99.99351486255573,36.5860310573516,99.82665236415164,200,154.5544,0.455026455026455,14.985014985014987,0.7976588628762542,189,598,0.9309451877427708,0.4807603152526657,0.9462598883949498,0
coding/osf/dqmcv/osfstorage/novelverbs_coded/novelverbs_2674_child0_R06km9_free.pickle,99.71180121949378,57.542816091091076,99.71354434338022,200,154.566667,0.21389195148842338,29.999999935303,0.2764456981664316,907,1418,0.6484156068118129,0.5638297872340425,0.19955654444636584,0
